"Comprei, mas não chegou"
"Modelagem de camisa com tamanho pequeno. Comprei o número 5 e ainda assim ficou slim, mesmo o modelo sendo padrão. A largura é justa e quando fico sentado ela aperta no corpo. Não gostei. Os modelos anteriores da Colombo eram melhores. Estão importando da China. Material ruim e que dá cheiro forte com a utilização frequente. "
"Não recebi o produto ate a presente data, entrei em contato com a loja e ainda não recebi resposta."
"bom produto , entrega muito rapida , parabens"
Nao ciloquei ainda...assim q estiver tudp pronto ...dpu a minha opinião 
"Veste muito bem e o produto tem ótima qualidade, super satisfeita."
"Amei este brinde! Nossa produto maravilhoso! Não borra, dura um dia inteiro.Enfim, obrigafda pelo mimo. Quando acabar com certeza vou comprá-lo."
Muito bom! Boné bonito e confortável.
"Qualidade top,preço justo o unico porém é o cheiro do produto mas mesmo assim mais suave do que outras escovas por aí.(dica:não coloque produto em excesso,retire todo excesso no pente e só seque no morno alternando com o frio pra não subir mto cheiro e ardor,e pranche bastante ela tem um otimo alisamento)."
"voces nao entregam os produtos ,comprei tem um mes e ainda nao recebi"
Pela qualidade do mesmo.
"OTIMO, BOM PRODUTO, COM PROTEÇÃO DESEJADA"
Produto de ótima qualidade ............recomendo
"Porque o produto é de qualidade, poderia melhorar na estetica, o da 3m é mais bonito"
Boa qualidade e cores bem escolhidas. Pessoal fica identificando os detalhes do filme na camiseta.
Escoli  porcausa estava um bom preço e e Um produto bom
"ótimo pra balada, atrai olhares de todos, eu gostei demais!"
"Protudo é como o esperado, leve, com o disagner legal, muito bom o protudo"
"Oi!
Eu gostei do produto,  ficou um pouco grande mas mandei acertar. Ficaria melhor se fosse um pouco mais alta. "
Por que o produto é bom e minha pele se adequou a ele.
"Excelente produto, entrega muito rápida!"
muito bom a biblia
Entrega rápida e produto de ótima qualidade
"O maiô é lindo, o material é bom; no entanto, não é uma peça inteira e o sutiâ costurado na peça é muito pequeno."
porque atendeu todas as expectativas
"tudo certo falto um  rele só mais de resto tudo legal
show de farol de milha ......."
Excelente produto. A qualidade do material e as custuras muito boas. Veste muito bem.
"Sempre compro ele, bom demais.
"
"Está tudo excelente só que, creio que talvez por erro meu mesmo, eu havia entendido que receberia as peças para montar.
Fiquei um pouco frustrado, só isso."
Eu gostei e recomendo aos amigos...
não conheço essa marca espero que atenda as minhas necessidades! 
EU ACHEI O PRODUTO MARAVILHOSO E RECOMENDO A TODOS QUE COMPREM.
Gostei muito do tecido e da qualidade do mesmo . A beleza das roupas desta marca e indiscutível
